,,,,,,,,,,,,,,,,,,,,,Impresso em:,,,,,,,9/1/2025,,,,,,Página 1 de 26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,RPP - RELAÇÃO DE PEDIDOS A PRODUZIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,[ ]  Costura,,,,,[ ]  Marcenaria,,,,,,[ ] Estofagem,,,,,,,[ ]  Revisão Final/Emb,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedido,,,Cliente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OP,,,Modelo,,,,,,Obs,,,,,,,,Respons.,,,,,,Cantoneira,,,,Pé,,,,Dt.inicio,,,,,Dt.fim
11659 ,,BOX BAU GRAN 108x198 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11660 ,,BOX BAU GRAN 108x198 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11661 ,,BOX BAU GRAN 108x198 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11666 ,,BOX BAU GRAN 138x188 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11667 ,,BOX BAU GRAN 138x188 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11668 ,,BOX BAU GRAN 138x188 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11669 ,,BOX BAU GRAN 138x188 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11670 ,,BOX BAU GRAN 138x188 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11671 ,,BOX BAU GRAN 138x188 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11679 ,,BOX BAU GRAN 158x198 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11680 ,,BOX BAU GRAN 158x198 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11682 ,,BOX BAU GRAN 158x198 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11683 ,,BOX BAU GRAN 158x198 PP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11684 ,,BOX BAU GRAN 158x198 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11685 ,,BOX BAU GRAN 158x198 PP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
